"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "TypeScript JSX", "CSS", "JSON", "Markdown", "XML", "comment", "blank", "total"
"/Users/akkaracha/Developer/moota-website/src/app/api/[[...route]]/route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 6, 10, 52
"/Users/akkaracha/Developer/moota-website/src/app/api/auth/[...kindeAuth]/route.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/akkaracha/Developer/moota-website/src/app/api/auth/[kindeAuth]/route.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/akkaracha/Developer/moota-website/src/app/globals.css", "CSS", 0, 0, 0, 0, 135, 0, 0, 0, 8, 8, 151
"/Users/akkaracha/Developer/moota-website/src/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 5, 47
"/Users/akkaracha/Developer/moota-website/src/components/AboutSection.tsx", "TypeScript JSX", 0, 0, 0, 54, 0, 0, 0, 0, 0, 5, 59
"/Users/akkaracha/Developer/moota-website/src/components/AdminPageWrapper.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"/Users/akkaracha/Developer/moota-website/src/components/AlertDialogCustom.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"/Users/akkaracha/Developer/moota-website/src/components/BadgeCustom.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"/Users/akkaracha/Developer/moota-website/src/components/CommentCard.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
"/Users/akkaracha/Developer/moota-website/src/components/ContactSection.tsx", "TypeScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 0, 7, 115
"/Users/akkaracha/Developer/moota-website/src/components/CustomerReviewSection.tsx", "TypeScript JSX", 0, 0, 0, 54, 0, 0, 0, 0, 0, 4, 58
"/Users/akkaracha/Developer/moota-website/src/components/Hamburger.tsx", "TypeScript JSX", 0, 0, 0, 206, 0, 0, 0, 0, 0, 15, 221
"/Users/akkaracha/Developer/moota-website/src/components/HeaderSection.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"/Users/akkaracha/Developer/moota-website/src/components/HeroSection.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 0, 6, 76
"/Users/akkaracha/Developer/moota-website/src/components/MenuAdmin.tsx", "TypeScript JSX", 0, 0, 0, 98, 0, 0, 0, 0, 0, 5, 103
"/Users/akkaracha/Developer/moota-website/src/components/Navbar.tsx", "TypeScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 0, 5, 84
"/Users/akkaracha/Developer/moota-website/src/components/NavbarAdmin.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"/Users/akkaracha/Developer/moota-website/src/components/OauthButton.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"/Users/akkaracha/Developer/moota-website/src/components/PageLoader.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"/Users/akkaracha/Developer/moota-website/src/components/PageWrapper.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"/Users/akkaracha/Developer/moota-website/src/components/ProfileNavbar.tsx", "TypeScript JSX", 0, 0, 0, 80, 0, 0, 0, 0, 0, 3, 83
"/Users/akkaracha/Developer/moota-website/src/components/SeperateLine.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"/Users/akkaracha/Developer/moota-website/src/components/Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 142, 0, 0, 0, 0, 0, 10, 152
"/Users/akkaracha/Developer/moota-website/src/components/Skeleton/ProfileSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"/Users/akkaracha/Developer/moota-website/src/components/TextCardInfo.tsx", "TypeScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 0, 2, 70
"/Users/akkaracha/Developer/moota-website/src/components/TextHeader.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"/Users/akkaracha/Developer/moota-website/src/components/charts/BarMultipleChart.tsx", "TypeScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 1, 7, 107
"/Users/akkaracha/Developer/moota-website/src/components/charts/LineChartLabel.tsx", "TypeScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 0, 8, 112
"/Users/akkaracha/Developer/moota-website/src/components/inputs/CalendarRange.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 3, 6, 76
"/Users/akkaracha/Developer/moota-website/src/components/inputs/DateTimeWithLabel.tsx", "TypeScript JSX", 0, 0, 0, 182, 0, 0, 0, 0, 4, 11, 197
"/Users/akkaracha/Developer/moota-website/src/components/inputs/ImageInput.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 2, 5, 76
"/Users/akkaracha/Developer/moota-website/src/components/inputs/InputWithLabel.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 0, 5, 72
"/Users/akkaracha/Developer/moota-website/src/components/inputs/SelectWithLabel.tsx", "TypeScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 0, 4, 81
"/Users/akkaracha/Developer/moota-website/src/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 143, 0, 0, 0, 0, 0, 15, 158
"/Users/akkaracha/Developer/moota-website/src/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 6, 47
"/Users/akkaracha/Developer/moota-website/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 0, 6, 63
"/Users/akkaracha/Developer/moota-website/src/components/ui/calendar.tsx", "TypeScript JSX", 0, 0, 0, 200, 0, 0, 0, 0, 0, 11, 211
"/Users/akkaracha/Developer/moota-website/src/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 0, 10, 93
"/Users/akkaracha/Developer/moota-website/src/components/ui/chart.tsx", "TypeScript JSX", 0, 0, 0, 315, 0, 0, 0, 0, 2, 37, 354
"/Users/akkaracha/Developer/moota-website/src/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 130, 0, 0, 0, 0, 0, 14, 144
"/Users/akkaracha/Developer/moota-website/src/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 239, 0, 0, 0, 0, 0, 19, 258
"/Users/akkaracha/Developer/moota-website/src/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 143, 0, 0, 0, 0, 0, 25, 168
"/Users/akkaracha/Developer/moota-website/src/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"/Users/akkaracha/Developer/moota-website/src/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/Users/akkaracha/Developer/moota-website/src/components/ui/popover.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 8, 49
"/Users/akkaracha/Developer/moota-website/src/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 172, 0, 0, 0, 0, 0, 14, 186
